function,dimensions,checkpoint,mean,std,median,max,min
F32013,10,0.01,145125.386703483,670813.8916576944,24576.938470504865,4854818.073803425,3416.2653734838523
F32013,10,0.1,0,0,0,0,0
F32013,10,0.2,0,0,0,0,0
F32013,10,0.3,0,0,0,0,0
F32013,10,0.4,0,0,0,0,0
F32013,10,0.5,0,0,0,0,0
F32013,10,0.6,0,0,0,0,0
F32013,10,0.7,0,0,0,0,0
F32013,10,0.8,0,0,0,0,0
F32013,10,0.9,0,0,0,0,0
F32013,10,1.0,0,0,0,0,0
F32013,30,0.01,1318594.1505135156,1642007.6836948048,684567.3181272233,9003353.384974575,46665.92776714225
F32013,30,0.1,1.628086718446514,7.403854732167091,1.5788976043040748e-05,50.68171153351045,0
F32013,30,0.2,0,0,0,4.719959179055877e-08,0
F32013,30,0.3,0,0,0,0,0
F32013,30,0.4,0,0,0,0,0
F32013,30,0.5,0,0,0,0,0
F32013,30,0.6,0,0,0,0,0
F32013,30,0.7,0,0,0,0,0
F32013,30,0.8,0,0,0,0,0
F32013,30,0.9,0,0,0,0,0
F32013,30,1.0,0,0,0,0,0
F32013,50,0.01,7871641.908070416,42499070.35187532,647929.6279386327,306243422.22797513,64455.230701279965
F32013,50,0.1,11.167109891599136,64.49933496840437,0.008172758142791281,462.197373930248,0
F32013,50,0.2,0.04040560075753217,0.2848938179347624,0,2.054901157978975,0
F32013,50,0.3,0,0,0,0,0
F32013,50,0.4,0,0,0,0,0
F32013,50,0.5,0,0,0,0,0
F32013,50,0.6,0,0,0,0,0
F32013,50,0.7,0,0,0,0,0
F32013,50,0.8,0,0,0,0,0
F32013,50,0.9,0,0,0,0,0
F32013,50,1.0,0,0,0,0,0
